country,price,currency,raw_button_text
US,1.99,USD,1.99 USD
US,4.99,USD,4.99 USD
US,14.99,USD,14.99 USD
US,29.99,USD,29.99 USD
US,49.99,USD,49.99 USD
US,99.99,USD,99.99 USD
GB,1.99,GBP,1.99 GBP
GB,4.99,GBP,4.99 GBP
GB,14.99,GBP,14.99 GBP
GB,29.99,GBP,29.99 GBP
GB,49.99,GBP,49.99 GBP
GB,99.99,GBP,99.99 GBP
DE,1.99,EUR,1.99 EUR
DE,5.99,EUR,5.99 EUR
DE,17.99,EUR,17.99 EUR
DE,34.99,EUR,34.99 EUR
DE,59.99,EUR,59.99 EUR
DE,99.99,EUR,99.99 EUR
FR,1.99,EUR,1.99 EUR
FR,5.99,EUR,5.99 EUR
FR,17.99,EUR,17.99 EUR
FR,34.99,EUR,34.99 EUR
FR,59.99,EUR,59.99 EUR
FR,99.99,EUR,99.99 EUR
IT,1.99,EUR,1.99 EUR
IT,5.99,EUR,5.99 EUR
IT,17.99,EUR,17.99 EUR
IT,34.99,EUR,34.99 EUR
IT,59.99,EUR,59.99 EUR
IT,99.99,EUR,99.99 EUR
ES,1.99,EUR,1.99 EUR
ES,5.99,EUR,5.99 EUR
ES,17.99,EUR,17.99 EUR
ES,34.99,EUR,34.99 EUR
ES,59.99,EUR,59.99 EUR
ES,99.99,EUR,99.99 EUR
NL,1.99,EUR,1.99 EUR
NL,5.99,EUR,5.99 EUR
NL,17.99,EUR,17.99 EUR
NL,34.99,EUR,34.99 EUR
NL,59.99,EUR,59.99 EUR
NL,99.99,EUR,99.99 EUR
BE,1.99,EUR,1.99 EUR
BE,5.99,EUR,5.99 EUR
BE,17.99,EUR,17.99 EUR
BE,34.99,EUR,34.99 EUR
BE,59.99,EUR,59.99 EUR
BE,99.99,EUR,99.99 EUR
CA,2.99,CAD,2.99 CAD
CA,6.99,CAD,6.99 CAD
CA,19.99,CAD,19.99 CAD
CA,39.99,CAD,39.99 CAD
CA,69.99,CAD,69.99 CAD
CA,129.99,CAD,129.99 CAD
AU,2.99,AUD,2.99 AUD
AU,7.99,AUD,7.99 AUD
AU,22.99,AUD,22.99 AUD
AU,49.99,AUD,49.99 AUD
AU,79.99,AUD,79.99 AUD
AU,149.99,AUD,149.99 AUD
IN,199,INR,199 INR
IN,499,INR,499 INR
IN,1499,INR,1499 INR
IN,2999,INR,2999 INR
IN,4999,INR,4999 INR
IN,9900,INR,9900 INR
BR,9.9,BRL,9.9 BRL
BR,24.9,BRL,24.9 BRL
BR,79.9,BRL,79.9 BRL
BR,149.9,BRL,149.9 BRL
BR,249.9,BRL,249.9 BRL
BR,499.9,BRL,499.9 BRL
MX,39,MXN,39 MXN
MX,99,MXN,99 MXN
MX,299,MXN,299 MXN
MX,599,MXN,599 MXN
MX,999,MXN,999 MXN
MX,1999,MXN,1999 MXN
TR,99.99,TRY,99.99 TRY
TR,229.99,TRY,229.99 TRY
TR,699.99,TRY,699.99 TRY
TR,1299.99,TRY,1299.99 TRY
TR,2299.99,TRY,2299.99 TRY
TR,4499.99,TRY,4499.99 TRY
RU,1.99,USD,1.99 USD
RU,4.99,USD,4.99 USD
RU,14.99,USD,14.99 USD
RU,29.99,USD,29.99 USD
RU,49.99,USD,49.99 USD
RU,99.99,USD,99.99 USD
JP,300,JPY,300 JPY
JP,800,JPY,800 JPY
JP,2500,JPY,2500 JPY
JP,5000,JPY,5000 JPY
JP,8000,JPY,8000 JPY
JP,15000,JPY,15000 JPY
KR,3300,KRW,3300 KRW
KR,6600,KRW,6600 KRW
KR,22000,KRW,22000 KRW
KR,44000,KRW,44000 KRW
KR,66000,KRW,66000 KRW
KR,149000,KRW,149000 KRW
SG,2.98,SGD,2.98 SGD
SG,6.98,SGD,6.98 SGD
SG,19.98,SGD,19.98 SGD
SG,39.98,SGD,39.98 SGD
SG,69.98,SGD,69.98 SGD
SG,149.98,SGD,149.98 SGD
ID,29000,IDR,29000 IDR
ID,89000,IDR,89000 IDR
ID,249000,IDR,249000 IDR
ID,499000,IDR,499000 IDR
ID,799000,IDR,799000 IDR
ID,1699000,IDR,1699000 IDR
TH,79,THB,79 THB
TH,199,THB,199 THB
TH,499,THB,499 THB
TH,999,THB,999 THB
TH,1990,THB,1990 THB
TH,3990,THB,3990 THB
VN,49000,VND,49000 VND
VN,129000,VND,129000 VND
VN,399000,VND,399000 VND
VN,799000,VND,799000 VND
VN,1299000,VND,1299000 VND
VN,2499000,VND,2499000 VND
PH,99,PHP,99 PHP
PH,299,PHP,299 PHP
PH,799,PHP,799 PHP
PH,1790,PHP,1790 PHP
PH,2990,PHP,2990 PHP
PH,4990,PHP,4990 PHP
MY,9.9,MYR,9.9 MYR
MY,22.9,MYR,22.9 MYR
MY,69.9,MYR,69.9 MYR
MY,129.9,MYR,129.9 MYR
MY,229.9,MYR,229.9 MYR
MY,499.9,MYR,499.9 MYR
PL,9.99,PLN,9.99 PLN
PL,29.99,PLN,29.99 PLN
PL,79.99,PLN,79.99 PLN
PL,149.99,PLN,149.99 PLN
PL,299.99,PLN,299.99 PLN
PL,499.99,PLN,499.99 PLN
SE,29,SEK,29 SEK
SE,69,SEK,69 SEK
SE,199,SEK,199 SEK
SE,399,SEK,399 SEK
SE,599,SEK,599 SEK
SE,1295,SEK,1295 SEK
NO,29,NOK,29 NOK
NO,59,NOK,59 NOK
